sample,type,system,station,season,date,time,month,year,vol,d_vol,flushing,precip,pCO2,TA,TA_cat,PR,BR,BR.PR,TP,TN,N.P,DOC,pH,DO_sat,DO,temp,chla,secchi,zeu,depth,d_depth,Zeu.depth
11,Semi-arid,Gargalheiras,P1,Dry,11-Oct,10:00:00 AM,October,2011,40087282,-1576072,Without,2.2,14.3,1.92,> 1 meq/L,33.23,42.47,1.28,90.91,2137.14,23507.8,,9.8,224.4,16.9,28.9,117,0.54,1.35,19.2,-0.4,0.07
12,Semi-arid,Gargalheiras,P1,Dry,11-Nov,10:00:00 AM,November,2011,37350723,-2736559,Without,2.62,51.29,1.86,> 1 meq/L,16.99,,,74.26,2372,31942.66,,9.3,233.9,,27.9,98.3,0.6,1.5,20,0.8,0.08
13,Semi-arid,Gargalheiras,P1,Dry,11-Dec,10:00:00 AM,December,2011,36706014,-644709,Without,3.27,132.64,1.81,> 1 meq/L,5.95,,,75.93,2012,26499.33,,8.9,177.6,8.7,27.3,61.9,0.5,1.26,19,-1,0.07
14,Semi-arid,Gargalheiras,P1,Dry,12-Jan,10:00:00 AM,January,2012,34628620,-2077394,Without,16.6,122.33,1.99,> 1 meq/L,,,,71.76,,,,9,108.2,8.7,27.8,120.1,0.48,1.2,19.2,0.2,0.06
1,Semi-arid,Gargalheiras,P2,Rain,10-Dec,10:00:00 AM,December,2010,23227342,-2232879,Without,39.5,193.43,2.51,> 1 meq/L,30.46,29.44,0.97,173.22,431,2488.21,,8.9,91.5,7.2,27.6,5.6,1.5,3.75,8.25,0.75,0.45
2,Semi-arid,Gargalheiras,P2,Rain,11-Jan,10:00:00 AM,January,2011,24731425,1504083,Without,116.1,333.23,2.48,> 1 meq/L,85.18,56.23,0.66,63.71,456,7157.71,,8.7,90.6,7.2,26.9,13,1.26,3.15,7.3,-0.95,0.43
3,Semi-arid,Gargalheiras,P2,Rain,11-Feb,10:00:00 AM,February,2011,23694127,-1037298,Without,106.8,221.45,2.46,> 1 meq/L,16.44,23.34,1.42,47.57,508.5,10688.63,,8.8,,,,11.2,1.52,3.81,8.6,1.3,0.44
4,Semi-arid,Gargalheiras,P2,Rain,11-Mar,10:00:00 AM,March,2011,26374575,2680448,Without,121.7,102.42,2.08,> 1 meq/L,19.93,17.49,0.88,39.5,388.5,9835.01,,9.1,173.4,13.1,29.8,5.2,3,7.5,8.2,-0.4,0.91
5,Semi-arid,Gargalheiras,P2,Rain,11-Apr,10:00:00 AM,April,2011,28081369,1706794,Without,242.7,92.84,2.09,> 1 meq/L,48.57,66.61,1.37,125.19,358.5,2863.68,,9.1,152.4,11.7,28.9,19.8,0.78,1.95,8.4,0.2,0.23
6,Semi-arid,Gargalheiras,P2,Rain,11-May,10:00:00 AM,May,2011,44421480,16340111,With,214.1,1438.72,2.1,> 1 meq/L,71.93,50.7,0.7,80.23,4035,50291.48,,8,100.4,7.7,27.6,33.8,1.2,3,10.5,2.1,0.29
7,Semi-arid,Gargalheiras,P2,Rain,11-Jun,10:00:00 AM,June,2011,44421480,0,With,29.6,1683.41,1.96,> 1 meq/L,81.83,80.66,0.99,77.54,3535,45586.5,,7.9,169.6,13.3,26.5,48.9,1.01,2.52,10,-0.5,0.25
8,Semi-arid,Gargalheiras,P2,Rain,11-Jul,10:00:00 AM,July,2011,44421480,0,With,74,1901.97,1.44,> 1 meq/L,40.78,34.43,0.84,158.52,1379.6,8703.2,,7.7,90.7,7.3,25.1,46.8,0.82,2.04,11.7,1.7,0.17
9,Semi-arid,Gargalheiras,P2,Dry,11-Aug,10:00:00 AM,August,2011,43554641,-866839,Without,4.7,478.31,1.77,> 1 meq/L,119.53,122.5,1.02,142.69,1040,7288.44,,8.4,91.2,7.3,25.1,52,0.72,1.8,11.9,0.2,0.15
10,Semi-arid,Gargalheiras,P2,Dry,11-Sep,10:00:00 AM,September,2011,41663354,-1891287,Without,0,753.61,1.79,> 1 meq/L,,,,108.56,158.57,1460.6,,8.2,121.9,9.9,24.9,79.6,0.65,1.62,11.3,-0.6,0.14
11,Semi-arid,Gargalheiras,P2,Dry,11-Oct,10:00:00 AM,October,2011,40087282,-1576072,Without,2.2,11.33,1.51,> 1 meq/L,20.95,36.58,1.75,88.41,2072.86,23444.84,,9.8,183.7,14.3,27,83.7,0.6,1.5,11.2,-0.1,0.13
12,Semi-arid,Gargalheiras,P2,Dry,11-Nov,10:00:00 AM,November,2011,37350723,-2736559,Without,2.62,45.78,1.66,> 1 meq/L,14.2,,,82.59,1502,18186.22,,9.3,309.5,,27.3,88.9,0.72,1.8,11.2,0,0.16
13,Semi-arid,Gargalheiras,P2,Dry,11-Dec,10:00:00 AM,December,2011,36706014,-644709,Without,3.27,128.41,1.76,> 1 meq/L,,,,71.76,1517,21139.77,,8.9,164,7.4,26.6,59.8,0.62,1.56,10.6,-0.6,0.15
14,Semi-arid,Gargalheiras,P2,Dry,12-Jan,10:00:00 AM,January,2012,34628620,-2077394,Without,16.6,119.2,1.95,> 1 meq/L,,,,66.77,,,,9,97.4,7.9,26.7,177.3,0.42,1.05,10.2,-0.4,0.1
1,Semi-arid,Gargalheiras,P3,Rain,10-Dec,10:00:00 AM,December,2010,23227342,-2232879,Without,39.5,1438.9,2.54,> 1 meq/L,26.26,39.6,1.51,154,561,3642.75,,8.1,85.6,6.8,27,3.7,1.08,2.7,2.5,-0.1,1
2,Semi-arid,Gargalheiras,P3,Rain,11-Jan,10:00:00 AM,January,2011,24731425,1504083,Without,116.1,4858.71,1.87,> 1 meq/L,18.54,11.5,0.62,237.77,831,3494.98,,7.4,65.6,5.2,26.7,13.7,0.18,0.45,2.6,0.1,0.17
3,Semi-arid,Gargalheiras,P3,Rain,11-Feb,10:00:00 AM,February,2011,23694127,-1037298,Without,106.8,1610.32,2.43,> 1 meq/L,31.75,27.06,0.85,65.25,263.5,4038.51,,,,,,8.8,1,2.49,3.5,0.9,0.71
4,Semi-arid,Gargalheiras,P3,Rain,11-Mar,10:00:00 AM,March,2011,26374575,2680448,Without,121.7,765.37,2.12,> 1 meq/L,16.61,14.27,0.86,42.96,498.5,11604.25,,8.3,173.4,13.1,29.8,3.9,2.04,5.1,3.6,0.1,1.42
5,Semi-arid,Gargalheiras,P3,Rain,11-Apr,10:00:00 AM,April,2011,28081369,1706794,Without,242.7,352.57,2.09,> 1 meq/L,44.91,42.64,0.95,59.09,406,6870.55,,8.6,127.9,12,29,46.8,0.78,1.95,3.9,0.3,0.5
6,Semi-arid,Gargalheiras,P3,Rain,11-May,10:00:00 AM,May,2011,44421480,16340111,With,214.1,2620.34,1.67,> 1 meq/L,50.35,49.84,0.99,83.69,3365,40208.42,,7,95.7,7.4,27.1,16.1,1.09,2.73,6.3,2.4,0.43
7,Semi-arid,Gargalheiras,P3,Rain,11-Jun,10:00:00 AM,June,2011,44421480,0,With,29.6,7745.48,2.12,> 1 meq/L,59.42,56.1,0.94,87.54,4215,48152.05,,7.3,156.5,12.4,25.8,54.6,0.92,2.31,6,-0.3,0.39
8,Semi-arid,Gargalheiras,P3,Rain,11-Jul,10:00:00 AM,July,2011,44421480,0,With,74,4582.92,2.01,> 1 meq/L,50.15,40.75,0.81,156.85,1674.6,10676.57,,7.5,85.8,7,24.6,50.4,0.76,1.89,4.9,-1.1,0.39
9,Semi-arid,Gargalheiras,P3,Dry,11-Aug,10:00:00 AM,August,2011,43554641,-866839,Without,4.7,1208.82,1.76,> 1 meq/L,124.24,113.88,0.92,141.03,705,4998.82,,8,86.1,7,24.6,60.8,0.74,1.86,6,1.1,0.31
10,Semi-arid,Gargalheiras,P3,Dry,11-Sep,10:00:00 AM,September,2011,41663354,-1891287,Without,0,868.06,1.8,> 1 meq/L,,,,98.57,337.14,3420.15,,8.1,111.2,9.1,24.1,80.6,0.67,1.68,6,0,0.28
11,Semi-arid,Gargalheiras,P3,Dry,11-Oct,10:00:00 AM,October,2011,40087282,-1576072,Without,2.2,181.41,1.73,> 1 meq/L,29.55,47.22,1.6,96.74,1987.14,20541.82,,8.8,171.8,13.5,26.3,89.4,0.6,1.5,6,0,0.25
12,Semi-arid,Gargalheiras,P3,Dry,11-Nov,10:00:00 AM,November,2011,37350723,-2736559,Without,2.62,167.63,1.93,> 1 meq/L,9.21,,,86.75,1892,21810.81,,8.9,260.2,,27.1,92,0.6,1.5,5.2,-0.8,0.29
13,Semi-arid,Gargalheiras,P3,Dry,11-Dec,10:00:00 AM,December,2011,36706014,-644709,Without,3.27,857.38,1.79,> 1 meq/L,,,,71.76,2022,28177.07,,8.1,155.4,7.6,26.1,60.8,0.48,1.2,5.2,0,0.23
14,Semi-arid,Gargalheiras,P3,Dry,12-Jan,10:00:00 AM,January,2012,34628620,-2077394,Without,16.6,297.76,1.97,> 1 meq/L,,,,88.41,,,,8.6,93.8,7.7,26.4,184.1,0.42,1.05,4.8,-0.4,0.22
1,Semi-arid,Cruzeta,P1,Rain,10-Dec,14:00:00 PM,December,2010,8404130,-621127,Without,39.5,913.49,2.15,> 1 meq/L,29.61,28.57,0.96,116.73,603.5,5169.91,,8.2,101.1,7.6,29.9,19.7,0.6,1.5,4.5,-0.6,0.33
2,Semi-arid,Cruzeta,P1,Rain,11-Jan,14:00:00 PM,January,2011,15600966,7196836,Without,116.1,904.96,2.2,> 1 meq/L,18.92,13.96,0.74,193.97,741,3820.26,,8.2,105.6,8.2,27.7,35.7,0.64,1.59,6.85,2.35,0.23
3,Semi-arid,Cruzeta,P1,Rain,11-Feb,14:00:00 PM,February,2011,15927674,326708,Without,106.8,,1.74,> 1 meq/L,30.54,4.34,0.14,,,,,,,,,22.4,1.2,3,5.8,-1.05,0.52
4,Semi-arid,Cruzeta,P1,Rain,11-Mar,14:00:00 PM,March,2011,17747904,1820230,Without,121.7,17.32,1.45,> 1 meq/L,46.27,,,72.16,1053.5,14599.33,,9.6,249.5,17.5,33.9,84.8,0.5,1.26,6.8,1,0.19
5,Semi-arid,Cruzeta,P1,Rain,11-Apr,14:00:00 PM,April,2011,23545745,5797841,With,242.7,1721.24,1.24,> 1 meq/L,62.26,52.77,0.85,144.78,398.5,2752.4,,7.7,171.4,12.9,30.1,25,0.78,1.95,6,-0.8,0.33
6,Semi-arid,Cruzeta,P1,Rain,11-May,14:00:00 PM,May,2011,23545745,0,With,214.1,13567.15,1.27,> 1 meq/L,49.73,43.14,0.87,49.87,4165,83509.17,,6.8,118.6,9.2,27.5,26,0.82,2.04,8.1,2.1,0.25
7,Semi-arid,Cruzeta,P1,Rain,11-Jun,14:00:00 PM,June,2011,23545745,0,With,29.6,5224.28,1.66,> 1 meq/L,58.21,58.52,1.01,37.19,3475,93427.19,,7.3,178.3,13.9,27,31.7,1.06,2.64,8.3,0.2,0.32
8,Semi-arid,Cruzeta,P1,Rain,11-Jul,14:00:00 PM,July,2011,23545745,0,With,74,3493.8,1.55,> 1 meq/L,30.48,27.97,0.92,61.11,,,,7.5,95.2,7.6,25.6,52.5,0.94,2.34,7.6,-0.7,0.31
9,Semi-arid,Cruzeta,P1,Dry,11-Aug,14:00:00 PM,August,2011,22747116,-798629,Without,4.7,873.65,1.27,> 1 meq/L,46.81,44.6,0.95,62.77,1005,16010.19,,8,92.3,7.4,25.2,51.5,0.84,2.1,8,0.4,0.26
10,Semi-arid,Cruzeta,P1,Dry,11-Sep,14:00:00 PM,September,2011,21435082,-1312034,Without,0,8055.64,1.8,> 1 meq/L,,,,62.77,,,,7.2,123.8,10,25,30.2,1.01,2.52,8.7,0.7,0.29
11,Semi-arid,Cruzeta,P1,Dry,11-Oct,14:00:00 PM,October,2011,20123048,-1312034,Without,2.2,97.49,1.7,> 1 meq/L,24.74,20.47,0.83,39.3,1387.14,35300.51,,9,235.8,13.4,29.4,24.4,1.06,2.64,7.7,-1,0.34
12,Semi-arid,Cruzeta,P1,Dry,11-Nov,14:00:00 PM,November,2011,18468744,-1654304,Without,2.62,963.04,1.69,> 1 meq/L,51.59,41.51,0.8,63.44,1065.71,16799.16,,8.1,143.2,8.2,27.7,26,0.96,2.4,7.6,-0.1,0.32
13,Semi-arid,Cruzeta,P1,Dry,11-Dec,14:00:00 PM,December,2011,17654559,-814185,Without,3.27,1061.35,1.87,> 1 meq/L,,,,45.12,,,,8.1,184.7,6.9,27.7,28.1,0.91,2.28,7.8,0.2,0.29
14,Semi-arid,Cruzeta,P1,Dry,12-Jan,14:00:00 PM,January,2012,16021019,-1633540,Without,16.6,112.5,2.13,> 1 meq/L,,,,42.63,,,,9.1,249,,27.9,62.4,0.78,1.95,5.7,-2.1,0.34
1,Semi-arid,Cruzeta,P2,Rain,10-Dec,14:00:00 PM,December,2010,8404130,-621127,Without,39.5,889.19,2.14,> 1 meq/L,38.76,31.43,0.81,182.05,633.5,3479.73,,8.2,106.2,8,30,28.2,0.48,1.2,4.8,1,0.25
2,Semi-arid,Cruzeta,P2,Rain,11-Jan,14:00:00 PM,January,2011,15600966,7196836,Without,116.1,2778.52,1.98,> 1 meq/L,27.77,16.75,0.6,245.07,708.5,2891.01,,7.7,78.1,6.1,27.4,17.5,0.3,0.75,4.4,-0.4,0.17
3,Semi-arid,Cruzeta,P2,Rain,11-Feb,14:00:00 PM,February,2011,15927674,326708,Without,106.8,,1.68,> 1 meq/L,51.98,41.37,0.8,,,,,,,,,24.4,1.32,3.3,5.8,1.4,0.57
4,Semi-arid,Cruzeta,P2,Rain,11-Mar,14:00:00 PM,March,2011,17747904,1820230,Without,121.7,29.1,1.43,> 1 meq/L,40.78,9.94,0.24,57.94,913.5,15765.26,,9.4,202.1,14.8,31.5,67.1,0.78,1.95,5.5,-0.3,0.35
5,Semi-arid,Cruzeta,P2,Rain,11-Apr,14:00:00 PM,April,2011,23545745,5797841,With,242.7,3394.51,1.11,> 1 meq/L,57.26,71.64,1.25,71.39,581,8138.12,,7.3,121.7,9.7,30.4,20.8,0.78,1.95,5.5,0,0.35
6,Semi-arid,Cruzeta,P2,Rain,11-May,14:00:00 PM,May,2011,23545745,0,With,214.1,11733.28,1.26,> 1 meq/L,68.44,77.36,1.13,47.95,1615,33678.43,,6.9,9.27,9.3,27.7,31.2,0.8,2.01,7.8,2.3,0.26
7,Semi-arid,Cruzeta,P2,Rain,11-Jun,14:00:00 PM,June,2011,23545745,0,With,29.6,2069.22,1.44,> 1 meq/L,47.23,44.08,0.93,33.35,4525,135672.77,,7.7,180.1,14,27.1,33.3,1.13,2.82,7.8,0,0.36
8,Semi-arid,Cruzeta,P2,Rain,11-Jul,14:00:00 PM,July,2011,23545745,0,With,74,3771.67,1.8,> 1 meq/L,29.32,22.34,0.76,60.27,1534.6,25460,,7.5,97.3,7.8,25.8,52,0.9,2.25,4.1,-3.7,0.55
9,Semi-arid,Cruzeta,P2,Dry,11-Aug,14:00:00 PM,August,2011,22747116,-798629,Without,4.7,1426.26,1.72,> 1 meq/L,34.88,27.3,0.78,66.94,990,14790.43,,7.9,93.3,7.5,25.3,54.6,0.77,1.92,7.4,3.3,0.26
10,Semi-arid,Cruzeta,P2,Dry,11-Sep,14:00:00 PM,September,2011,21435082,-1312034,Without,0,5001.94,1.65,> 1 meq/L,,,,55.28,,,,7.3,124.6,10,25.1,36.4,0.79,1.98,7,-0.4,0.28
11,Semi-arid,Cruzeta,P2,Dry,11-Oct,14:00:00 PM,October,2011,20123048,-1312034,Without,2.2,94.31,1.73,> 1 meq/L,15.03,40,2.66,37.63,1208.57,32117.05,,9,221.8,7.2,28.8,21.8,0.94,2.34,7.1,0.1,0.33
12,Semi-arid,Cruzeta,P2,Dry,11-Nov,14:00:00 PM,November,2011,18468744,-1654304,Without,2.62,618.06,1.69,> 1 meq/L,44.73,29.45,0.66,62.61,1294.29,20673.5,,8.3,143.9,7.6,27.8,25.5,0.9,2.25,7,-0.1,0.32
13,Semi-arid,Cruzeta,P2,Dry,11-Dec,14:00:00 PM,December,2011,17654559,-814185,Without,3.27,561.12,1.99,> 1 meq/L,,,,34.3,,,,8.4,186.7,7.7,27.8,28.1,0.6,1.5,6.2,-0.8,0.24
14,Semi-arid,Cruzeta,P2,Dry,12-Jan,14:00:00 PM,January,2012,16021019,-1633540,Without,16.6,77.51,1.95,> 1 meq/L,,,,20.15,,,,9.2,389.9,,27.5,70.2,0.6,1.5,6.1,-0.1,0.25
1,Semi-arid,Cruzeta,P3,Rain,10-Dec,14:00:00 PM,December,2010,8404130,-621127,Without,39.5,3304.81,2.1,> 1 meq/L,25.12,38.08,1.52,155.54,566,3638.9,,7.6,73.2,5.4,31.5,8.9,0.26,0.66,1.5,-1.9,0.44
2,Semi-arid,Cruzeta,P3,Rain,11-Jan,14:00:00 PM,January,2011,15600966,7196836,Without,116.1,5577.02,1.27,> 1 meq/L,18.86,17.42,0.92,281.19,771,2741.93,,7.2,72.7,5.9,25.9,1.1,0.22,0.54,2.05,0.55,0.26
3,Semi-arid,Cruzeta,P3,Rain,11-Feb,14:00:00 PM,February,2011,15927674,326708,Without,106.8,,1.69,> 1 meq/L,41.15,32.71,0.79,,,,,,,,,32.2,1.38,3.45,2.2,0.15,1
4,Semi-arid,Cruzeta,P3,Rain,11-Mar,14:00:00 PM,March,2011,17747904,1820230,Without,121.7,248.32,1.49,> 1 meq/L,32.39,15.1,0.47,66.78,788.5,11807.17,,8.6,207.2,15.1,31.8,45.8,0.78,1.95,3.2,1,0.61
5,Semi-arid,Cruzeta,P3,Rain,11-Apr,14:00:00 PM,April,2011,23545745,5797841,With,242.7,4994.02,1.29,> 1 meq/L,63.13,78.47,1.24,165.92,473.5,2853.85,,7.2,181.1,13.4,30.7,28.6,0.66,1.65,3.8,0.6,0.43
6,Semi-arid,Cruzeta,P3,Rain,11-May,14:00:00 PM,May,2011,23545745,0,With,214.1,,1.33,> 1 meq/L,,,,51.41,,,,,,,,19.2,0.8,2.01,3.8,0,0.53
7,Semi-arid,Cruzeta,P3,Rain,11-Jun,14:00:00 PM,June,2011,23545745,0,With,29.6,8182.01,1.43,> 1 meq/L,57.03,47.38,0.83,34.51,3675,106506.19,,7.1,179.9,14,27.1,38.5,1.02,2.55,3.9,0.1,0.65
8,Semi-arid,Cruzeta,P3,Rain,11-Jul,14:00:00 PM,July,2011,23545745,0,With,74,1939.36,1.65,> 1 meq/L,29.18,25.71,0.88,57.78,,,,7.7,96.6,7.7,25.7,43.7,0.91,2.28,4.4,0.5,0.52
9,Semi-arid,Cruzeta,P3,Dry,11-Aug,14:00:00 PM,August,2011,22747116,-798629,Without,4.7,927.6,1.54,> 1 meq/L,29.2,24.99,0.86,62.77,1030,16408.45,,8,97.2,7.8,25.7,51.5,0.74,1.86,3.9,-0.5,0.48
10,Semi-arid,Cruzeta,P3,Dry,11-Sep,14:00:00 PM,September,2011,21435082,-1312034,Without,0,,,> 1 meq/L,,,,56.11,,,,7.5,128,10.3,25.3,13.5,0.78,1.95,4.2,0.3,0.46
11,Semi-arid,Cruzeta,P3,Dry,11-Oct,14:00:00 PM,October,2011,20123048,-1312034,Without,2.2,167.91,1.7,> 1 meq/L,30.27,17.49,0.58,43.46,1315.71,30275.6,,8.8,218,5.5,28.6,21.3,0.78,1.95,3.5,-0.7,0.56
12,Semi-arid,Cruzeta,P3,Dry,11-Nov,14:00:00 PM,November,2011,18468744,-1654304,Without,2.62,1566.66,1.69,> 1 meq/L,42.22,37.57,0.89,64.27,1215.71,18915.42,,7.9,139.9,7.3,27.5,25,0.72,1.8,3.6,0.1,0.5
13,Semi-arid,Cruzeta,P3,Dry,11-Dec,14:00:00 PM,December,2011,17654559,-814185,Without,3.27,1116.49,2.01,> 1 meq/L,,,,18.48,,,,8.1,181.3,7.6,27.6,27,0.65,1.62,3,-0.6,0.54
14,Semi-arid,Cruzeta,P3,Dry,12-Jan,14:00:00 PM,January,2012,16021019,-1633540,Without,16.6,380.69,2.03,> 1 meq/L,,,,38.46,,,,8.5,312,,27,43.6,0.42,1.05,4,1,0.26
1,Humid,Extremoz,P1,Rain,12-Jul,9:00:00 AM,July,2012,11019525,11019525,,115.9,4408.46,1.72,> 1 meq/L,11.87,13.54,1.14,16.2,1.94,119.44,1125,7.4,,,27.9,8.3,2,3.5,3.5,,1.6
2,Humid,Extremoz,P1,Dry,12-Aug,9:15:00 AM,August,2012,10691896,-327629,,30.9,1441.11,0.93,< 1 meq/L,19.71,7.76,0.39,18.2,1.94,106.62,1043,7.6,,,28.1,6.72,1.6,3.5,3.5,0,1.28
3,Humid,Extremoz,P1,Dry,12-Sep,8:40:00 AM,September,2012,10364267,-327629,,10.4,2218.45,1.19,> 1 meq/L,10.19,6.17,0.61,17.2,1.66,96.57,1026,7.6,,,28.1,7.02,1.3,3.5,3.5,0,1.04
4,Humid,Extremoz,P1,Dry,12-Oct,9:00:00 AM,October,2012,9417783,-946484,,0,323.49,1.24,> 1 meq/L,15.34,9.65,0.63,21.2,0.54,25.38,0.48,8.4,,,27.5,8.58,2.25,5.6,5.6,2.1,1.13
5,Humid,Extremoz,P1,Dry,12-Nov,10:00:00 AM,November,2012,8655944,-761839,,1.1,2406.94,1.09,> 1 meq/L,11.79,3.48,0.3,19,0.46,24.29,0.54,7.5,,,30,6.76,1.75,2.5,2.5,-3.1,1.96
6,Humid,Extremoz,P1,Dry,12-Dec,10:30:00 AM,December,2012,7637032,-1018912,,0,3221.61,0.8,< 1 meq/L,16.82,12.98,0.77,7,0.49,70.05,454,7.2,,,30.1,6.24,2,3.5,3.5,1,1.6
7,Humid,Extremoz,P1,Dry,13-Jan,10:10:00 AM,January,2013,6568157,-1068875,,6.7,401.17,1.08,> 1 meq/L,,,,2.37,0.49,208.59,433,8.3,,,31.3,7.54,1.72,2.5,2.5,-1,1.93
8,Humid,Extremoz,P1,Rain,13-Feb,11:00:00 AM,February,2013,6194948,-373209,,61.2,8167.28,1.24,> 1 meq/L,60,73.71,1.23,2.15,0.44,206.53,524,7,,,31.1,5.46,1.5,3.75,4,1.5,1.05
9,Humid,Extremoz,P1,Rain,13-Mar,9:15:00 AM,March,2013,5430421,-764527,,27,400.39,1.16,> 1 meq/L,11.07,19.82,1.79,29.4,0.41,13.88,491,8.3,,,31.2,6.5,1.25,,3.2,-0.8,1.09
10,Humid,Extremoz,P1,Rain,13-Apr,9:10:00 AM,April,2013,4840000,-590421,,158.6,7655.37,1.64,> 1 meq/L,1.29,,,34.8,0.84,24.19,0.45,7.2,,,31.5,11.44,1.4,3.5,3.8,0.6,1.03
11,Humid,Extremoz,P1,Rain,13-May,4:10:00 PM,May,2013,8723872,3883872,,258.1,3268.65,1.54,> 1 meq/L,6.12,,,56.6,0.91,16.07,565,7.5,,,31.1,21.91,1.2,3,4.6,0.8,0.73
12,Humid,Extremoz,P1,Rain,13-Jun,9:38:00 AM,June,2013,10950000,2226128,,302.8,1353.66,1.17,> 1 meq/L,21.89,9.79,0.45,15.83,1.62,102.41,524,7.8,,,26.1,10.66,2.15,,5.5,0.9,1.09
13,Humid,Extremoz,P1,Rain,13-Jul,10:20:00 AM,July,2013,11019525,69525,,289.2,3614.2,0.95,< 1 meq/L,,,,55.33,0.7,12.73,606,7.2,,,25.6,16.25,1.5,3.75,5.5,0,0.76
1,Humid,Extremoz,P2,Rain,12-Jul,9:30:00 AM,July,2012,11019525,11019525,,115.9,8304.91,1.78,> 1 meq/L,6.63,15.25,2.3,13.5,1.94,143.7,1261,7.2,,,27.7,7.4,1.9,3.5,3.5,,1.52
2,Humid,Extremoz,P2,Dry,12-Aug,9:45:00 AM,August,2012,10691896,-327629,,30.9,3528.42,0.95,< 1 meq/L,4.31,10.11,2.34,15.2,1.94,127.93,1052,7.3,,,28,5.28,1.45,3.5,3.5,0,1.16
3,Humid,Extremoz,P2,Dry,12-Sep,9:10:00 AM,September,2012,10364267,-327629,,10.4,1122.66,1.49,> 1 meq/L,6.81,7.28,1.07,19.2,1.41,73.59,1095,7.9,,,28.1,2.08,1.47,3.5,3.5,0,1.18
4,Humid,Extremoz,P2,Dry,12-Oct,9:30:00 AM,October,2012,9417783,-946484,,0,317.67,1.33,> 1 meq/L,0.41,16.14,39.54,21.2,0.67,31.6,508,8.4,,,28,1.82,2.25,3.4,3.4,-0.1,1.85
5,Humid,Extremoz,P2,Dry,12-Nov,10:30:00 AM,November,2012,8655944,-761839,,1.1,2297,1.1,> 1 meq/L,8.28,6.63,0.8,22,0.46,20.92,615,7.5,,,32,2.08,1.75,2.5,2.5,-0.9,1.96
6,Humid,Extremoz,P2,Dry,12-Dec,11:00:00 AM,December,2012,7637032,-1018912,,0,4015.36,1.26,> 1 meq/L,16.22,9.15,0.56,7,0.54,77.59,462,7.3,,,30,2.86,1.8,2.5,2.5,0,2.02
